distance,N652,N654,N658,N662,N663,N668,N679,N687,N689,N692,N693,N703,N707,N718,N719,N733,N739,N742,N743,N749,N752,N767,N784,N787,N797,N803,N804,N812,N824,N827,N842,N843,N852,N853,N857,N852,N882,N883,N884,N917,N929,N932,N937,N942,N947
N652,0,1.85,1.158805,1.396,1.674647,2.289205,3.950013,5.224509,4.886,5.584,5.660095,7.041024,7.678,9.121025,9.260668,10.510781,11.320191,11.866,11.901999,12.699472,13.96,16.054,18.24205,18.846,20.242,20.96042,21.021563,22.336,23.803998,24.43,26.524,26.540124,27.92,27.935319,28.618,29.316,32.108,32.121321,32.161253,36.994,38.43455,39.088,39.786,40.484,41.182
N654,1.85,0,1.158805,2.31761,1.674647,2.289205,3.49,4.886,5.224509,5.882479,5.660095,7.041024,7.897733,9.121025,9.074,10.510781,11.168,12.009349,11.901999,12.564,14.082049,16.160242,18.148,18.936584,20.326364,20.96042,20.94,22.412483,23.732,24.499947,26.588439,26.540124,27.981224,27.935319,28.677734,29.374315,32.161253,32.121321,32.108,37.040229,38.39,39.131755,39.828988,40.526248,41.223532
N658,1.158805,1.158805,0,1.158805,0.698,1.396,2.941239,4.288936,4.288936,4.972788,4.886,6.282,7.041024,8.376,8.426921,9.772,10.510781,11.206242,11.168,11.901999,13.294219,15.383834,17.474499,18.171558,19.565877,20.242,20.263124,21.657762,23.052566,23.75002,25.84256,25.826,27.237711,27.222,27.935319,28.632945,31.423617,31.41,31.423617,36.307785,37.703349,38.401142,39.098943,39.796751,40.494566
N662,1.396,2.31761,1.158805,0,0.925,1.158805,2.794161,3.950013,3.49,4.188,4.288936,5.660095,6.282,7.733519,7.897733,9.121025,9.945576,10.47,10.510781,11.320191,12.564,14.658,16.853842,17.45,18.846,19.565877,19.631364,20.94,22.412483,23.034,25.128,25.14502,26.524,26.540124,27.222,27.92,30.712,30.725927,30.767669,35.598,37.040229,37.692,38.39,39.088,39.786
N663,1.674647,1.674647,0.698,0.925,0,0.698,2.289205,3.610502,3.610502,4.288936,4.188,5.584,6.349736,7.678,7.733519,9.074,9.815682,10.510781,10.47,11.206242,12.598005,14.687157,16.777519,17.474499,18.868687,19.544,19.565877,20.96042,22.355145,23.052566,25.14502,25.128,26.540124,26.524,27.237711,27.935319,30.725927,30.712,30.725927,35.610016,37.005563,37.703349,38.401142,39.098943,39.796751
N668,2.289205,2.289205,1.396,1.158805,0.698,0,1.674647,2.941239,2.941239,3.610502,3.49,4.886,5.660095,6.98,7.041024,8.376,9.121025,9.815682,9.772,10.510781,11.901999,13.990612,16.080626,16.777519,18.171558,18.846,18.868687,20.263124,21.657762,22.355145,24.447505,24.43,25.84256,25.826,26.540124,27.237711,30.02825,30.014,30.02825,34.912256,36.307785,37.005563,37.703349,38.401142,39.098943
N679,3.950013,3.49,2.941239,2.794161,2.289205,1.674647,0,1.396,2.31761,2.794161,2.289205,3.610502,4.578411,5.660095,5.584,7.041024,7.678,8.577871,8.426921,9.074,10.632187,12.699472,14.658,15.467037,16.853842,17.474499,17.45,18.936584,20.242,21.021563,23.108173,23.052566,24.499947,24.447505,25.196009,25.892176,28.677734,28.632945,28.618,33.555037,34.9,35.646039,36.343116,37.040229,37.737374
N687,5.224509,4.886,4.288936,3.950013,3.610502,2.941239,1.396,0,1.85,1.977297,1.158805,2.289205,3.349293,4.288936,4.188,5.660095,6.282,7.221004,7.041024,7.678,9.260668,11.320191,13.262,14.082049,15.467037,16.080626,16.054,17.547792,18.846,19.631364,21.716941,21.657762,23.108173,23.052566,23.803998,24.499947,27.28479,27.237711,27.222,32.161253,33.504,34.251997,34.948999,35.646039,36.343116
N689,4.886,5.224509,4.288936,3.49,3.610502,2.941239,2.31761,1.85,0,0.698,1.158805,2.289205,2.792,4.288936,4.578411,5.660095,6.548742,6.98,7.041024,7.897733,9.074,11.168,13.390412,13.96,15.356,16.080626,16.160242,17.45,18.936584,19.544,21.638,21.657762,23.034,23.052566,23.732,24.43,27.222,27.237711,27.28479,32.108,33.555037,34.202,34.9,35.598,36.296
N692,5.584,5.882479,4.972788,4.188,4.288936,3.610502,2.794161,1.977297,0.698,0,0.925,1.674647,2.094,3.610502,3.950013,4.972788,5.882479,6.282,6.349736,7.221004,8.376,10.47,12.699472,13.262,14.658,15.383834,15.467037,16.752,18.24205,18.846,20.94,20.96042,22.336,22.355145,23.034,23.732,26.524,26.540124,26.588439,31.41,32.858121,33.504,34.202,34.9,35.598
N693,5.660095,5.660095,4.886,4.288936,4.188,3.49,2.289205,1.158805,1.158805,0.925,0,1.396,2.289205,3.49,3.610502,4.886,5.660095,6.349736,6.282,7.041024,8.426921,10.510781,12.598005,13.294219,14.687157,15.356,15.383834,16.777519,18.171558,18.868687,20.96042,20.94,22.355145,22.336,23.052566,23.75002,26.540124,26.524,26.540124,31.423617,32.819038,33.516767,34.214506,34.912256,35.610016
N703,7.041024,7.041024,6.282,5.660095,5.584,4.886,3.610502,2.289205,2.289205,1.674647,1.396,0,1.158805,2.094,2.289205,3.49,4.288936,4.972788,4.886,5.660095,7.041024,9.121025,11.206242,11.901999,13.294219,13.96,13.990612,15.383834,16.777519,17.474499,19.565877,19.544,20.96042,20.94,21.657762,22.355145,25.14502,25.128,25.14502,30.02825,31.423617,32.121321,32.819038,33.516767,34.214506
N707,7.678,7.897733,7.041024,6.282,6.349736,5.660095,4.578411,3.349293,2.792,2.094,2.289205,1.158805,0,1.674647,2.31761,2.941239,3.950013,4.188,4.288936,5.224509,6.282,8.376,10.632187,11.168,12.564,13.294219,13.390412,14.658,16.160242,16.752,18.846,18.868687,20.242,20.263124,20.94,21.638,24.43,24.447505,24.499947,29.316,30.767669,31.41,32.108,32.806,33.504
N718,9.121025,9.121025,8.376,7.733519,7.678,6.98,5.660095,4.288936,4.288936,3.610502,3.49,2.094,1.674647,0,0.925,1.396,2.289205,2.941239,2.792,3.610502,4.972788,7.041024,9.121025,9.815682,11.206242,11.866,11.901999,13.294219,14.687157,15.383834,17.474499,17.45,18.868687,18.846,19.565877,20.263124,23.052566,23.034,23.052566,27.935319,29.33059,30.02825,30.725927,31.423617,32.121321
N719,9.260668,9.074,8.426921,7.897733,7.733519,7.041024,5.584,4.188,4.578411,3.950013,3.610502,2.289205,2.31761,0.925,0,1.674647,2.094,3.349293,2.941239,3.49,5.224509,7.221004,9.074,9.945576,11.320191,11.901999,11.866,13.390412,14.658,15.467037,17.547792,17.474499,18.936584,18.868687,19.631364,20.326364,23.108173,23.052566,23.034,27.981224,29.316,30.070961,30.767669,31.464434,32.161253
N733,10.510781,10.510781,9.772,9.121025,9.074,8.376,7.041024,5.660095,5.660095,4.972788,4.886,3.49,2.941239,1.396,1.674647,0,1.158805,1.674647,1.396,2.289205,3.610502,5.660095,7.733519,8.426921,9.815682,10.47,10.510781,11.901999,13.294219,13.990612,16.080626,16.054,17.474499,17.45,18.171558,18.868687,21.657762,21.638,21.657762,26.540124,27.935319,28.632945,29.33059,30.02825,30.725927
N739,11.320191,11.168,10.510781,9.945576,9.815682,9.121025,7.678,6.282,6.548742,5.882479,5.660095,4.288936,3.950013,2.289205,2.094,1.158805,0,1.977297,1.158805,1.396,3.349293,5.224509,6.98,7.897733,9.260668,9.815682,9.772,11.320191,12.564,13.390412,15.467037,15.383834,16.853842,16.777519,17.547792,18.24205,21.021563,20.96042,20.94,25.892176,27.222,27.981224,28.677734,29.374315,30.070961
N742,11.866,12.009349,11.206242,10.47,10.510781,9.815682,8.577871,7.221004,6.98,6.282,6.349736,4.972788,4.188,2.941239,3.349293,1.674647,1.977297,0,0.925,1.977297,2.094,4.188,6.548742,6.98,8.376,9.121025,9.260668,10.47,12.009349,12.564,14.658,14.687157,16.054,16.080626,16.752,17.45,20.242,20.263124,20.326364,25.128,26.588439,27.222,27.92,28.618,29.316
N743,11.901999,11.901999,11.168,10.510781,10.47,9.772,8.426921,7.041024,7.041024,6.349736,6.282,4.886,4.288936,2.792,2.941239,1.396,1.158805,0.925,0,1.158805,2.289205,4.288936,6.349736,7.041024,8.426921,9.074,9.121025,10.510781,11.901999,12.598005,14.687157,14.658,16.080626,16.054,16.777519,17.474499,20.263124,20.242,20.263124,25.14502,26.540124,27.237711,27.935319,28.632945,29.33059
N749,12.699472,12.564,11.901999,11.320191,11.206242,10.510781,9.074,7.678,7.897733,7.221004,7.041024,5.660095,5.224509,3.610502,3.49,2.289205,1.396,1.977297,1.158805,0,2.31761,3.950013,5.584,6.548742,7.897733,8.426921,8.376,9.945576,11.168,12.009349,14.082049,13.990612,15.467037,15.383834,16.160242,16.853842,19.631364,19.565877,19.544,24.499947,25.826,26.588439,27.28479,27.981224,28.677734
N752,13.96,14.082049,13.294219,12.564,12.598005,11.901999,10.632187,9.260668,9.074,8.376,8.426921,7.041024,6.282,4.972788,5.224509,3.610502,3.349293,2.094,2.289205,2.31761,0,2.094,4.578411,4.886,6.282,7.041024,7.221004,8.376,9.945576,10.47,12.564,12.598005,13.96,13.990612,14.658,15.356,18.148,18.171558,18.24205,23.034,24.499947,25.128,25.826,26.524,27.222
N767,16.054,16.160242,15.383834,14.658,14.687157,13.990612,12.699472,11.320191,11.168,10.47,10.510781,9.121025,8.376,7.041024,7.221004,5.660095,5.224509,4.188,4.288936,3.950013,2.094,0,2.794161,2.792,4.188,4.972788,5.224509,6.282,7.897733,8.376,10.47,10.510781,11.866,11.901999,12.564,13.262,16.054,16.080626,16.160242,20.94,22.412483,23.034,23.732,24.43,25.128
N784,18.24205,18.148,17.474499,16.853842,16.777519,16.080626,14.658,13.262,13.390412,12.699472,12.598005,11.206242,10.632187,9.121025,9.074,7.733519,6.98,6.548742,6.349736,5.584,4.578411,2.794161,0,1.977297,2.794161,2.941239,2.792,4.578411,5.584,6.548742,8.577871,8.426921,9.945576,9.815682,10.632187,11.320191,14.082049,13.990612,13.96,18.936584,20.242,21.021563,21.716941,22.412483,23.108173
N787,18.846,18.936584,18.171558,17.45,17.474499,16.777519,15.467037,14.082049,13.96,13.262,13.294219,11.901999,11.168,9.815682,9.945576,8.426921,7.897733,6.98,7.041024,6.548742,4.886,2.792,1.977297,0,1.396,2.289205,2.794161,3.49,5.224509,5.584,7.678,7.733519,9.074,9.121025,9.772,10.47,13.262,13.294219,13.390412,18.148,19.631364,20.242,20.94,21.638,22.336
